Time [s],Pos X [um],Pos Y [um],Pos Z [um],Piezo X [um],Piezo Y [um],Piezo Z [um],Force A [uN],Force B [uN],Gripper [V],Voltage A [V],Voltage B [V],Temperature [oC]
5067.55483,-857.534,-422.597,-27130.79487,-0.00017,-0.00013,-0.00074,-0.21852,,0.0,-0.0015,-0.00469,21.3805
5067.56483,-857.53347,-422.5976,-27130.79457,0.00016,2e-05,-0.00035,-0.23324,,0.0,-0.00146,-0.00471,21.38048
5067.57483,-857.533,-422.5974,-27130.79557,-0.00019,0.00029,0.00026,-0.22189,,0.0,-0.00147,-0.00467,21.3805
5067.58483,-857.533,-422.5976,-27130.79543,0.00023,-0.00038,-0.00105,-0.22265,,0.0,-0.00144,-0.00467,21.38041
5067.59483,-857.533,-422.598,-27130.7944,0.00029,-1e-05,-0.00022,-0.22749,,0.0,-0.00143,-0.0047,21.38045
5067.60483,-857.53363,-422.59743,-27130.79507,-0.00028,0.00034,-0.00027,-0.22652,,0.0,-0.00146,-0.00469,21.3804
5067.61483,-857.5334,-422.59757,-27130.79547,-7e-05,-0.0004,-0.00048,-0.22403,,0.0,-0.00145,-0.00469,21.38045
5067.62483,-857.53363,-422.598,-27130.795,0.00012,0.00022,-0.00029,-0.21944,,0.0,-0.00144,-0.00474,21.38038
5067.63483,-857.534,-422.59743,-27130.795,-0.00028,0.0004,-0.0009,-0.22427,,0.0,-0.00144,-0.00471,21.38044
5067.64483,-857.5334,-422.59757,-27130.79553,0.00023,-6e-05,0.00014,-0.21915,,0.0,-0.00144,-0.00467,21.38037
5067.65483,-857.53353,-422.5986,-27130.79543,0.00025,-6e-05,-0.00045,-0.21796,,0.0,-0.00147,-0.00469,21.38042
5067.66483,-857.53337,-422.59787,-27130.795,9e-05,0.00023,-0.00072,-0.23383,,0.0,-0.00146,-0.00469,21.38038
5067.67483,-857.53357,-422.597,-27130.795,7e-05,1e-05,-0.00011,-0.20948,,0.0,-0.00143,-0.00473,21.38047
5067.68483,-857.534,-422.59813,-27130.79553,2e-05,-0.00047,-0.00082,-0.22059,,0.0,-0.00148,-0.0047,21.38044
5067.69483,-857.53337,-422.59843,-27130.79543,-0.0003,2e-05,0.00029,-0.22803,,0.0,-0.00148,-0.00469,21.38046
5067.70483,-857.5336,-422.598,-27130.795,-0.00027,0.00017,-0.00098,-0.22097,,0.0,-0.00146,-0.00471,21.38041
5067.71483,-857.53337,-422.598,-27130.795,-9e-05,-0.00033,-0.00048,-0.22104,,0.0,-0.00146,-0.00471,21.38048
5067.72483,-857.53357,-422.59743,-27130.795,0.00013,-0.00042,-8e-05,-0.21847,,0.0,-0.00145,-0.0047,21.38048
5067.73483,-857.53347,-422.5976,-27130.795,-1e-05,0.00032,-0.00087,-0.22101,,0.0,-0.00144,-0.00469,21.38042
5067.74483,-857.53363,-422.598,-27130.79443,0.00019,-0.00018,-0.00011,-0.22261,,0.0,-0.00146,-0.00469,21.38045
5067.75483,-857.53347,-422.5974,-27130.79457,0.00021,-0.00069,-0.00039,-0.22672,,0.0,-0.00145,-0.0047,21.38056
5067.76483,-857.53357,-422.597,-27130.795,-0.00033,0.00058,-0.00039,-0.24095,,0.0,-0.00142,-0.0047,21.38059
5067.77483,-857.534,-422.59643,-27130.79447,-8e-05,0.0002,-2e-05,-0.21324,,0.0,-0.00142,-0.00472,21.38045
5067.78483,-857.53343,-422.5966,-27130.79457,0.00032,-0.00063,-0.0011,-0.22481,,0.0,-0.00146,-0.00472,21.38045
5067.79483,-857.53427,-422.59757,-27130.79443,-0.00037,-1e-05,0.00028,-0.23567,,0.0,-0.00146,-0.00469,21.38041
5067.80483,-857.53387,-422.598,-27130.794,-3e-05,0.00041,-0.00046,-0.21144,,0.0,-0.00149,-0.0047,21.38053
5067.81483,-857.53357,-422.598,-27130.794,0.00015,-0.0001,-0.00065,-0.22724,,0.0,-0.00146,-0.00467,21.38057
5067.82483,-857.5346,-422.598,-27130.794,-2e-05,-0.00035,-2e-05,-0.23428,,0.0,-0.00147,-0.00467,21.38047
5067.83483,-857.5344,-422.59743,-27130.794,-0.00025,0.00023,-0.00076,-0.22546,,0.0,-0.00148,-0.00469,21.38045
5067.84483,-857.5334,-422.597,-27130.79453,0.0002,0.00024,-0.00018,-0.2198,,0.0,-0.00145,-0.00467,21.38048
5067.85483,-857.5336,-422.597,-27130.795,0.00012,-8e-05,-0.00049,-0.23113,,0.0,-0.00145,-0.00468,21.38042
5067.86483,-857.5334,-422.597,-27130.795,-0.00018,-6e-05,-0.00066,-0.22953,,0.0,-0.00147,-0.00468,21.38061
