// ===============================================================================================================================================================================================================================================================================================================
// 2023-11-22, 12:19:48, 0
//           Index             Phase      Displacement              Time             Pos X             Pos Y             Pos Z           Piezo X           Piezo Y           Piezo Z           Force A           Force B           Gripper         Voltage A         Voltage B       Temperature      Indent Depth
//             [#]               [#]              [um]               [s]              [um]              [um]              [um]              [um]              [um]              [um]              [uN]              [uN]               [V]               [V]               [V]              [°C]              [um]
// ===============================================================================================================================================================================================================================================================================================================
           0.00000           2.00000           0.00827       14551.82567        -857.86928        -422.19421      -27142.80200          -0.00028          -0.00056           0.00872          -0.01660               NaN           0.00000          -0.00143          -0.00448          22.76728          22.17602
           0.00000           2.00000           0.02815       14551.83067        -857.87000        -422.19500      -27142.80200          -0.00002           0.00013           0.02862           0.00258               NaN           0.00000          -0.00143          -0.00449          22.76733          22.19590
           0.00000           2.00000           0.05295       14551.83567        -857.86972        -422.19521      -27142.80185          -0.00008          -0.00023           0.05342           0.00644               NaN           0.00000          -0.00140          -0.00446          22.76729          22.22070
           0.00000           2.00000           0.08225       14551.84067        -857.86900        -422.19600      -27142.80100          -0.00032          -0.00042           0.08271           0.00246               NaN           0.00000          -0.00139          -0.00445          22.76742          22.24999
           0.00000           2.00000           0.11948       14551.84567        -857.86900        -422.19572      -27142.80121          -0.00018           0.00007           0.11995           0.01632               NaN           0.00000          -0.00141          -0.00451          22.76734          22.28722
           0.00000           2.00000           0.16187       14551.85067        -857.86900        -422.19500      -27142.80200          -0.00000          -0.00010           0.16235           0.01944               NaN           0.00000          -0.00141          -0.00450          22.76732          22.32962
           0.00000           2.00000           0.20722       14551.85567        -857.86900        -422.19521      -27142.80200          -0.00036          -0.00018           0.20769           0.01071               NaN           0.00000          -0.00143          -0.00453          22.76747          22.37496
           0.00000           2.00000           0.25886       14551.86067        -857.86900        -422.19600      -27142.80200          -0.00009          -0.00013           0.25934           0.01974               NaN           0.00000          -0.00141          -0.00452          22.76730          22.42661
           0.00000           2.00000           0.31641       14551.86567        -857.86900        -422.19579      -27142.80200          -0.00003           0.00015           0.31689           0.03489               NaN           0.00000          -0.00141          -0.00453          22.76752          22.48415
           0.00000           2.00000           0.37612       14551.87067        -857.86900        -422.19500      -27142.80200          -0.00019          -0.00011           0.37661           0.03413               NaN           0.00000          -0.00143          -0.00455          22.76724          22.54387
           0.00000           2.00000           0.44019       14551.87567        -857.86864        -422.19521      -27142.80200          -0.00001          -0.00034           0.44068           0.04796               NaN           0.00000          -0.00139          -0.00454          22.76732          22.60794
           0.00000           2.00000           0.51022       14551.88067        -857.86800        -422.19600      -27142.80200           0.00013          -0.00014           0.51072           0.05657               NaN           0.00000          -0.00143          -0.00454          22.76738          22.67797
           0.00000           2.00000           0.58239       14551.88567        -857.86828        -422.19600      -27142.80200          -0.00005          -0.00017           0.58290           0.06612               NaN           0.00000          -0.00139          -0.00448          22.76742          22.75014
           0.00000           2.00000           0.65748       14551.89067        -857.86900        -422.19600      -27142.80200          -0.00013          -0.00034           0.65798           0.06818               NaN           0.00000          -0.00142          -0.00450          22.76719          22.82522
           0.00000           2.00000           0.73779       14551.89567        -857.86864        -422.19600      -27142.80215           0.00003           0.00019           0.73831           0.08914               NaN           0.00000          -0.00143          -0.00453          22.76747          22.90554
           0.00000           2.00000           0.82109       14551.90067        -857.86800        -422.19600      -27142.80300           0.00001          -0.00000           0.82162           0.09394               NaN           0.00000          -0.00141          -0.00452          22.76758          22.98884
           0.00000           2.00000           0.90556       14551.90567        -857.86836        -422.19600      -27142.80279           0.00002          -0.00026           0.90609           0.08934               NaN           0.00000          -0.00140          -0.00452          22.76734          23.07331
           0.00000           2.00000           0.99467       14551.91067        -857.86900        -422.19600      -27142.80200           0.00002           0.00016           0.99521           0.11351               NaN           0.00000          -0.00141          -0.00455          22.76747          23.16242
           0.00000           2.00000           1.08735       14551.91567        -857.86900        -422.19600      -27142.80179           0.00016           0.00011           1.08789           0.12480               NaN           0.00000          -0.00143          -0.00455          22.76737          23.25510
           0.00000           2.00000           1.18012       14551.92067        -857.86900        -422.19600      -27142.80100           0.00007          -0.00009           1.18067           0.12803               NaN           0.00000          -0.00143          -0.00452          22.76737          23.34787
           0.00000           2.00000           1.27615       14551.92567        -857.86864        -422.19600      -27142.80100           0.00003          -0.00042           1.27671           0.14493               NaN           0.00000          -0.00142          -0.00455          22.76728          23.44390
           0.00000           2.00000           1.37641       14551.93067        -857.86800        -422.19600      -27142.80100           0.00015          -0.00013           1.37698           0.16146               NaN           0.00000          -0.00142          -0.00456          22.76733          23.54416
           0.00000           2.00000           1.47670       14551.93567        -857.86829        -422.19572      -27142.80142           0.00034          -0.00006           1.47727           0.16673               NaN           0.00000          -0.00140          -0.00455          22.76734          23.64445
           0.00000           2.00000           1.57804       14551.94067        -857.86999        -422.19500      -27142.80300           0.00018          -0.00045           1.57861           0.17193               NaN           0.00000          -0.00142          -0.00458          22.76734          23.74578
           0.00000           2.00000           1.68401       14551.94567        -857.86964        -422.19528      -27142.80279           0.00027          -0.00006           1.68459           0.18532               NaN           0.00000          -0.00140          -0.00451          22.76753          23.85175
           0.00000           2.00000           1.79037       14551.95067        -857.86900        -422.19600      -27142.80200           0.00000           0.00011           1.79096           0.18985               NaN           0.00000          -0.00142          -0.00449          22.76745          23.95812
           0.00000           2.00000           1.89651       14551.95567        -857.86864        -422.19600      -27142.80200           0.00002          -0.00014           1.89710           0.19999               NaN           0.00000          -0.00141          -0.00458          22.76743          24.06426
           0.00000           2.00000           2.00588       14551.96067        -857.86800        -422.19600      -27142.80200           0.00000          -0.00028           2.00648           0.22191               NaN           0.00000          -0.00136          -0.00453          22.76730          24.17362
           0.00000           2.00000           2.11746       14551.96567        -857.86815        -422.19628      -27142.80200           0.00013          -0.00015           2.11808           0.23713               NaN           0.00000          -0.00141          -0.00454          22.76754          24.28521
           0.00000           2.00000           2.22879       14551.97067        -857.86900        -422.19700      -27142.80200          -0.00018          -0.00064           2.22941           0.23437               NaN           0.00000          -0.00141          -0.00456          22.76743          24.39654
           0.00000           2.00000           2.34381       14551.97567        -857.86858        -422.19672      -27142.80200          -0.00011          -0.00029           2.34445           0.26526               NaN           0.00000          -0.00140          -0.00454          22.76733          24.51156
           0.00000           2.00000           2.46423       14551.98067        -857.86700        -422.19600      -27142.80200           0.00008           0.00034           2.46488           0.28475               NaN           0.00000          -0.00140          -0.00453          22.76746          24.63197
           0.00000           2.00000           2.58472       14551.98567        -857.86742        -422.19600      -27142.80215          -0.00019          -0.00027           2.58537           0.27869               NaN           0.00000          -0.00138          -0.00454          22.76751          24.75247
           0.00000           2.00000           2.70787       14551.99067        -857.86900        -422.19600      -27142.80300          -0.00000          -0.00014           2.70854           0.30438               NaN           0.00000          -0.00134          -0.00454          22.76742          24.87562
           0.00000           2.00000           2.83510       14551.99567        -857.86900        -422.19628      -27142.80279           0.00018          -0.00007           2.83577           0.32415               NaN           0.00000          -0.00142          -0.00453          22.76737          25.00285
           0.00000           2.00000           2.96291       14552.00067        -857.86900        -422.19700      -27142.80200           0.00005          -0.00029           2.96359           0.33363               NaN           0.00000          -0.00136          -0.00453          22.76751          25.13066
           0.00000           2.00000           3.09053       14552.00567        -857.86864        -422.19658      -27142.80200           0.00021          -0.00074           3.09121           0.32905               NaN           0.00000          -0.00144          -0.00455          22.76750          25.25828
           0.00000           2.00000           3.22107       14552.01067        -857.86800        -422.19500      -27142.80200           0.00016          -0.00029           3.22177           0.35960               NaN           0.00000          -0.00141          -0.00454          22.76724          25.38882
           0.00000           2.00000           3.35254       14552.01567        -857.86829        -422.19472      -27142.80200           0.00017           0.00025           3.35325           0.37877               NaN           0.00000          -0.00141          -0.00457          22.76730          25.52029
           0.00000           2.00000           3.48233       14552.02067        -857.86999        -422.19400      -27142.80200          -0.00023          -0.00005           3.48303           0.37075               NaN           0.00000          -0.00139          -0.00454          22.76735          25.65007
           0.00000           2.00000           3.61361       14552.02567        -857.87000        -422.19442      -27142.80185           0.00020          -0.00019           3.61434           0.40208               NaN           0.00000          -0.00140          -0.00458          22.76743          25.78136
           0.00000           2.00000           3.74649       14552.03067        -857.87000        -422.19600      -27142.80100           0.00007           0.00004           3.74723           0.43161               NaN           0.00000          -0.00139          -0.00450          22.76746          25.91424
           0.00000           2.00000           3.87741       14552.03567        -857.86964        -422.19579      -27142.80115          -0.00001          -0.00033           3.87816           0.43759               NaN           0.00000          -0.00144          -0.00453          22.76723          26.04516
           0.00000           2.00000           4.00842       14552.04067        -857.86900        -422.19500      -27142.80200          -0.00002          -0.00058           4.00916           0.43660               NaN           0.00000          -0.00139          -0.00454          22.76752          26.17616
           0.00000           2.00000           4.14153       14552.04567        -857.86864        -422.19528      -27142.80185          -0.00006          -0.00043           4.14230           0.46873               NaN           0.00000          -0.00140          -0.00456          22.76746          26.30928
           0.00000           2.00000           4.27307       14552.05067        -857.86800        -422.19600      -27142.80100          -0.00036          -0.00016           4.27383           0.47050               NaN           0.00000          -0.00142          -0.00454          22.76739          26.44081
           0.00000           2.00000           4.40349       14552.05567        -857.86800        -422.19600      -27142.80115          -0.00008          -0.00028           4.40426           0.48283               NaN           0.00000          -0.00142          -0.00457          22.76742          26.57124
           0.00000           2.00000           4.53566       14552.06067        -857.86800        -422.19600      -27142.80200           0.00010          -0.00020           4.53645           0.50689               NaN           0.00000          -0.00139          -0.00456          22.76747          26.70341
           0.00000           2.00000           4.66756       14552.06567        -857.86800        -422.19600      -27142.80185           0.00016          -0.00020           4.66837           0.53167               NaN           0.00000          -0.00144          -0.00451          22.76740          26.83531
           0.00000           2.00000           4.79719       14552.07067        -857.86800        -422.19600      -27142.80100          -0.00001          -0.00075           4.79799           0.52584               NaN           0.00000          -0.00143          -0.00456          22.76743          26.96494
           0.00000           2.00000           4.92840       14552.07567        -857.86836        -422.19579      -27142.80121          -0.00008          -0.00059           4.92922           0.54842               NaN           0.00000          -0.00141          -0.00454          22.76746          27.09615
           0.00000           2.00000           5.06034       14552.08067        -857.86900        -422.19500      -27142.80200          -0.00010           0.00000           5.06116           0.56085               NaN           0.00000          -0.00140          -0.00451          22.76747          27.22808
           0.00000           2.00000           5.18968       14552.08567        -857.86900        -422.19500      -27142.80179          -0.00020          -0.00016           5.19052           0.57339               NaN           0.00000          -0.00143          -0.00459          22.76736          27.35743
