Index [#],Phase [#],Displacement [um],Time [s],Pos X [um],Pos Y [um],Pos Z [um],Piezo X [um],Piezo Y [um],Piezo Z [um],Force A [uN],Force B [uN],Gripper [V],Voltage A [V],Voltage B [V],Temperature [oC],Indent Depth [um],Filtered time [uN},Filtered force [uN],SG Force [uN],Est Force 2nd derivative,Filtered displacement [um]
0.0,2.0,0.00827,14551.82567,-857.86928,-422.19421,-27142.802,-0.00028,-0.00056,0.00872,-0.0166,,0.0,-0.00143,-0.00448,22.76728,22.17602,14551.84067,0.00246,0.004210249084249088,0.0003001929181929187,0.08271
0.0,2.0,0.02815,14551.83067,-857.87,-422.195,-27142.802,-2e-05,0.00013,0.02862,0.00258,,0.0,-0.00143,-0.00449,22.76733,22.1959,14551.84567,0.01632,0.009779289377289375,0.0003001929181929187,0.11995
0.0,2.0,0.05295,14551.83567,-857.86972,-422.19521,-27142.80185,-8e-05,-0.00023,0.05342,0.00644,,0.0,-0.0014,-0.00446,22.76729,22.2207,14551.85067,0.01944,0.015648522588522583,0.0003001929181929187,0.16235
0.0,2.0,0.08225,14551.84067,-857.869,-422.196,-27142.801,-0.00032,-0.00042,0.08271,0.00246,,0.0,-0.00139,-0.00445,22.76742,22.24999,14551.85567,0.01071,0.021817948717948704,0.0003001929181929187,0.20769
0.0,2.0,0.11948,14551.84567,-857.869,-422.19572,-27142.80121,-0.00018,7e-05,0.11995,0.01632,,0.0,-0.00141,-0.00451,22.76734,22.28722,14551.86067,0.01974,0.028287567765567748,0.0003001929181929187,0.25934
0.0,2.0,0.16187,14551.85067,-857.869,-422.195,-27142.802,-0.0,-0.0001,0.16235,0.01944,,0.0,-0.00141,-0.0045,22.76732,22.32962,14551.86567,0.03489,0.03505737973137971,0.0003001929181929187,0.31689
0.0,2.0,0.20722,14551.85567,-857.869,-422.19521,-27142.802,-0.00036,-0.00018,0.20769,0.01071,,0.0,-0.00143,-0.00453,22.76747,22.37496,14551.87067,0.03413,0.042127384615384594,0.0003001929181929187,0.37661
0.0,2.0,0.25886,14551.86067,-857.869,-422.196,-27142.802,-9e-05,-0.00013,0.25934,0.01974,,0.0,-0.00141,-0.00452,22.7673,22.42661,14551.87567,0.04796,0.0494975824175824,0.0003001929181929187,0.44068
0.0,2.0,0.31641,14551.86567,-857.869,-422.19579,-27142.802,-3e-05,0.00015,0.31689,0.03489,,0.0,-0.00141,-0.00453,22.76752,22.48415,14551.88067,0.05657,0.057167973137973116,0.0003001929181929187,0.51072
0.0,2.0,0.37612,14551.87067,-857.869,-422.195,-27142.802,-0.00019,-0.00011,0.37661,0.03413,,0.0,-0.00143,-0.00455,22.76724,22.54387,14551.88567,0.06612,0.06513855677655674,0.0003001929181929187,0.5829
0.0,2.0,0.44019,14551.87567,-857.86864,-422.19521,-27142.802,-1e-05,-0.00034,0.44068,0.04796,,0.0,-0.00139,-0.00454,22.76732,22.60794,14551.89067,0.06818,0.07340933333333467,0.00030019291819289624,0.65798
0.0,2.0,0.51022,14551.88067,-857.868,-422.196,-27142.802,0.00013,-0.00014,0.51072,0.05657,,0.0,-0.00143,-0.00454,22.76738,22.67797,14551.89567,0.08914,0.08153199233716624,0.0003236339522546176,0.73831
0.0,2.0,0.58239,14551.88567,-857.86828,-422.196,-27142.802,-5e-05,-0.00017,0.5829,0.06612,,0.0,-0.00139,-0.00448,22.76742,22.75014,14551.90067,0.09394,0.09070138697318171,0.0003077320533871986,0.82162
0.0,2.0,0.65748,14551.89067,-857.869,-422.196,-27142.802,-0.00013,-0.00034,0.65798,0.06818,,0.0,-0.00142,-0.0045,22.76719,22.82522,14551.90567,0.08934,0.10107511111111295,0.00024404395604392588,0.90609
0.0,2.0,0.73779,14551.89567,-857.86864,-422.196,-27142.80215,3e-05,0.00019,0.73831,0.08914,,0.0,-0.00143,-0.00453,22.76747,22.90554,14551.91067,0.11351,0.1102568122605384,0.00026222963243649575,0.99521
0.0,2.0,0.82109,14551.90067,-857.868,-422.196,-27142.803,1e-05,-0.0,0.82162,0.09394,,0.0,-0.00141,-0.00452,22.76758,22.98884,14551.91567,0.1248,0.12011396168582593,0.00026502202012543274,1.08789
0.0,2.0,0.90556,14551.90567,-857.86836,-422.196,-27142.80279,2e-05,-0.00026,0.90609,0.08934,,0.0,-0.0014,-0.00452,22.76734,23.07331,14551.92067,0.12803,0.13138388505747367,0.00021003065134095707,1.18067
0.0,2.0,0.99467,14551.91067,-857.869,-422.196,-27142.802,2e-05,0.00016,0.99521,0.11351,,0.0,-0.00141,-0.00455,22.76747,23.16242,14551.92567,0.14493,0.14135866666666924,0.00023976312576308337,1.27671
0.0,2.0,1.08735,14551.91567,-857.869,-422.196,-27142.80179,0.00016,0.00011,1.08789,0.1248,,0.0,-0.00143,-0.00455,22.76737,23.2551,14551.93067,0.16146,0.1513953180076656,0.00028056949181082583,1.37698
0.0,2.0,1.18012,14551.92067,-857.869,-422.196,-27142.801,7e-05,-9e-05,1.18067,0.12803,,0.0,-0.00143,-0.00452,22.76737,23.34787,14551.93567,0.16673,0.16250427586207195,0.00027910201675714064,1.47727
0.0,2.0,1.27615,14551.92567,-857.86864,-422.196,-27142.801,3e-05,-0.00042,1.27671,0.14493,,0.0,-0.00142,-0.00455,22.76728,23.4439,14551.94067,0.17193,0.17432305747126753,0.0002495695339143094,1.57861
0.0,2.0,1.37641,14551.93067,-857.868,-422.196,-27142.801,0.00015,-0.00013,1.37698,0.16146,,0.0,-0.00142,-0.00456,22.76733,23.54416,14551.94567,0.18532,0.18564668965517578,0.0002567757989136748,1.68459
0.0,2.0,1.4767,14551.93567,-857.86829,-422.19572,-27142.80142,0.00034,-6e-05,1.47727,0.16673,,0.0,-0.0014,-0.00455,22.76734,23.64445,14551.95067,0.18985,0.1970909885057507,0.0002728978148287901,1.79096
0.0,2.0,1.57804,14551.94067,-857.86999,-422.195,-27142.803,0.00018,-0.00045,1.57861,0.17193,,0.0,-0.00142,-0.00458,22.76734,23.74578,14551.95567,0.19999,0.2100497011494291,0.00021764110984794354,1.8971
0.0,2.0,1.68401,14551.94567,-857.86964,-422.19528,-27142.80279,0.00027,-6e-05,1.68459,0.18532,,0.0,-0.0014,-0.00451,22.76753,23.85175,14551.96067,0.22191,0.22177908812260938,0.00023865033051233427,2.00648
0.0,2.0,1.79037,14551.95067,-857.869,-422.196,-27142.802,0.0,0.00011,1.79096,0.18985,,0.0,-0.00142,-0.00449,22.76745,23.95812,14551.96567,0.23713,0.23380101149425714,0.0002604794745483704,2.11808
0.0,2.0,1.89651,14551.95567,-857.86864,-422.196,-27142.802,2e-05,-0.00014,1.8971,0.19999,,0.0,-0.00141,-0.00458,22.76743,24.06426,14551.97067,0.23437,0.24664065900383586,0.00025679146141207806,2.22941
0.0,2.0,2.00588,14551.96067,-857.868,-422.196,-27142.802,0.0,-0.00028,2.00648,0.22191,,0.0,-0.00136,-0.00453,22.7673,24.17362,14551.97567,0.26526,0.2596881915708859,0.0002506579091405901,2.34445
0.0,2.0,2.11746,14551.96567,-857.86815,-422.19628,-27142.802,0.00013,-0.00015,2.11808,0.23713,,0.0,-0.00141,-0.00454,22.76754,24.28521,14551.98067,0.28475,0.27269099616858733,0.0002557180750283383,2.46488
0.0,2.0,2.22879,14551.97067,-857.869,-422.197,-27142.802,-0.00018,-0.00064,2.22941,0.23437,,0.0,-0.00141,-0.00456,22.76743,24.39654,14551.98567,0.27869,0.28680669731801284,0.0002124654119825683,2.58537
