Index [#],Phase [#],Displacement [um],Time [s],Pos X [um],Pos Y [um],Pos Z [um],Piezo X [um],Piezo Y [um],Piezo Z [um],Force A [uN],Force B [uN],Gripper [V],Voltage A [V],Voltage B [V],Temperature [oC],Sample Displacement [um],Filtered time [uN},Filtered force [uN],SG Force [uN],Est Force 2nd derivative,Filtered displacement [um],Sel Time [s],Sel Force [N],Sel Modulus Uncorrected [Pa],Sel Modulus Corrected [Pa],Sel Modulus GMM Fit [Pa],Sel Time Normalised [s m-2],Sel Force Normalised []
7.0,2.0,0.00629,15563.00567,-857.90302,77.84099,-27144.122,-0.00023,-0.00016,-0.10343,-0.10941,,0.0,-0.00152,-0.00453,22.88303,-20.3729,15563.00567,-0.10941,-0.11487504652435686,0.00032973491642457147,-0.10343,0.0,0.00027313543,127318.09923358969,127318.09923358969,128639.38600088036,0.0,1.0
7.0,2.0,0.02416,15563.01067,-857.90394,77.8401,-27144.12285,-0.00039,-0.00032,-0.08556,-0.11346,,0.0,-0.00149,-0.00454,22.88307,-20.35502,15563.01067,-0.11346,-0.1119756401835712,0.00032973491642457147,-0.08556,0.005000000001018634,0.00027301151,127260.33573195599,127260.33573195599,127869.88610930108,590969375244417.0,0.998025220510259
7.0,2.0,0.05027,15563.01567,-857.904,77.84,-27144.123,-7e-05,0.00013,-0.05944,-0.10285,,0.0,-0.00153,-0.00448,22.883,-20.32892,15563.01567,-0.10285,-0.10874649892636098,0.00032973491642457147,-0.05944,0.010000000000218279,0.00027206626,126819.7212232467,126819.7212232467,127130.07643072263,1181938750273840.5,0.9829617899689604
7.0,2.0,0.08127,15563.02067,-857.904,77.84085,-27144.12215,-0.00031,-0.00017,-0.02844,-0.10733,,0.0,-0.00152,-0.00452,22.88293,-20.29792,15563.02067,-0.10733,-0.10518762275272618,0.00032973491642457147,-0.02844,0.015000000001236913,0.00027104494999999996,126343.65245425448,126343.65245425448,126418.76623290543,1772908125518257.5,0.9666862731785514
7.0,2.0,0.11701,15563.02567,-857.904,77.84099,-27144.122,-6e-05,-0.00018,0.00729,-0.11598,,0.0,-0.00147,-0.00456,22.88293,-20.26218,15563.02567,-0.11598,-0.10129901166266682,0.00032973491642457147,0.00729,0.020000000000436557,0.00027050589,126092.3774930645,126092.3774930645,125734.81278053732,2363877500547681.0,0.9580958549108004
7.0,2.0,0.15977,15563.03067,-857.904,77.8401,-27144.122,0.00017,0.00068,0.05007,-0.09596,,0.0,-0.00154,-0.00453,22.88307,-20.21941,15563.03067,-0.09596,-0.09708066565618287,0.00032973491642457147,0.05007,0.024999999999636202,0.00026913001,125451.03108709471,125451.03108709471,125077.11939734296,2954846875577104.5,0.936169938155273
7.0,2.0,0.20754,15563.03567,-857.904,77.84,-27144.122,0.00012,0.00031,0.09784,-0.08346,,0.0,-0.00153,-0.00453,22.88298,-20.17165,15563.03567,-0.08346,-0.09253258473327436,0.00032973491642457147,0.09784,0.030000000000654836,0.00026763855,124755.80874892013,124755.80874892013,124444.6336089547,3545816250821521.5,0.9124021475018751
7.0,2.0,0.25864,15563.04067,-857.904,77.84085,-27144.122,0.00028,-0.00042,0.14894,-0.09409,,0.0,-0.00152,-0.00453,22.88304,-20.12054,15563.04067,-0.09409,-0.08765476889394128,0.00032973491642457147,0.14894,0.03499999999985448,0.00026685654,124391.28618668183,124391.28618668183,123836.3453605658,4136785625850945.0,0.8999400969146217
7.0,2.0,0.31518,15563.04567,-857.904,77.84099,-27144.122,2e-05,-0.00025,0.20548,-0.08443,,0.0,-0.00152,-0.00453,22.88301,-20.064,15563.04567,-0.08443,-0.08244721813818363,0.00032973491642457147,0.20548,0.040000000000873115,0.00026558474,123798.45515555092,123798.45515555092,123251.28530427779,4727755001095362.0,0.879672790950672
7.0,2.0,0.3769,15563.05067,-857.90321,77.8401,-27144.122,-0.00011,-2e-05,0.26721,-0.0702,,0.0,-0.00151,-0.00454,22.88299,-20.00228,15563.05067,-0.0702,-0.0769099324660014,0.00032973491642457147,0.26721,0.04500000000007276,0.00026391703999999996,123021.08111040466,123021.08111040466,122688.52315883679,5318724376124786.0,0.8530964533535029
7.0,2.0,0.44114,15563.05567,-857.90301,77.84,-27144.122,7e-05,-0.00071,0.33145,-0.07346,,0.0,-0.00154,-0.00455,22.88298,-19.93804,15563.05567,-0.07346,-0.07104291187739462,0.00032973491642457147,0.33145,0.050000000001091394,0.00026302342,122604.53317359135,122604.53317359135,122147.16613213724,5909693751369203.0,0.8388557944798558
7.0,2.0,0.50958,15563.06067,-857.9039,77.84085,-27144.12279,-4e-05,-7e-05,0.39989,-0.06945,,0.0,-0.00153,-0.00455,22.8831,-19.8696,15563.06067,-0.06945,-0.06484615637236324,0.00032973491642457147,0.39989,0.05500000000029104,0.00026201216,122133.14906560157,122133.14906560157,121626.35741064018,6500663126398626.0,0.822740433708427
7.0,2.0,0.58332,15563.06567,-857.904,77.841,-27144.12301,0.00025,0.00041,0.47365,-0.05482,,0.0,-0.00155,-0.00454,22.88299,-19.79586,15563.06567,-0.05482,-0.058319665950907304,0.00032973491642457147,0.47365,0.05999999999949068,0.00026044801,121404.04334351995,121404.04334351995,121125.27470676042,7091632501428050.0,0.7978142608640236
7.0,2.0,0.6591,15563.07067,-857.904,77.84021,-27144.1239,0.00032,6e-05,0.54943,-0.0499,,0.0,-0.00153,-0.00452,22.88294,-19.72008,15563.07067,-0.0499,-0.05146344061302777,0.00032973491642458697,0.54943,0.06500000000050932,0.00025933452,120885.00621122404,120885.00621122404,120643.12886682042,7682601876672467.0,0.7800697707572469
7.0,2.0,0.73756,15563.07567,-857.90399,77.84,-27144.124,0.00027,-0.0002,0.62789,-0.04891,,0.0,-0.00157,-0.00457,22.88295,-19.64162,15563.07567,-0.04891,-0.043420919540230675,0.0002817519262346979,0.62789,0.06999999999970896,0.00025854854,120518.63309135595,120518.63309135595,120179.16253505793,8273571251701890.0,0.7675444545585168
7.0,2.0,0.8213,15563.08067,-857.9031,77.84085,-27144.124,0.00022,-6e-05,0.71163,-0.04148,,0.0,-0.00154,-0.00455,22.88303,-19.55788,15563.08067,-0.04148,-0.03599320306513476,0.0002839517494000361,0.71163,0.0750000000007276,0.00025732969,119950.48393087955,119950.48393087955,119732.64886984543,8864540626946307.0,0.7481209556796363
7.0,2.0,0.90727,15563.08567,-857.903,77.841,-27144.124,0.00011,4e-05,0.79762,-0.01851,,0.0,-0.00157,-0.00454,22.88294,-19.47191,15563.08567,-0.01851,-0.028293762452107803,0.00029239509915372834,0.79762,0.07999999999992724,0.0002559937,119327.73166693823,119327.73166693823,119302.89031421379,9455510001975730.0,0.7268307228641174
7.0,2.0,0.99452,15563.09067,-857.90379,77.841,-27144.12315,-8e-05,-0.00048,0.88485,-0.03319,,0.0,-0.00153,-0.00457,22.88288,-19.38467,15563.09067,-0.03319,-0.019043471264368166,0.00023240991958233909,0.88485,0.08500000000094587,0.00025537716,119040.34053316449,119040.34053316449,118889.21741337783,1.0046479377220148e+16,0.7170055893376088
7.0,2.0,1.08595,15563.09567,-857.904,77.84099,-27144.12301,-5e-05,-0.00031,0.97631,-0.00349,,0.0,-0.0015,-0.00453,22.88284,-19.29323,15563.09567,-0.00349,-0.011275555555555762,0.0002613797313797348,0.97631,0.09000000000014552,0.00025450156,118632.19235667589,118632.19235667589,118490.98768246554,1.0637448752249572e+16,0.703052095783564
7.0,2.0,1.18073,15563.10067,-857.904,77.8401,-27144.12471,-0.00026,0.00031,1.07109,0.00253,,0.0,-0.00151,-0.00454,22.88294,-19.19845,15563.10067,0.00253,-0.0027353946360153783,0.00025988480485032294,1.07109,0.09500000000116415,0.00025312846,117992.14180718239,117992.14180718239,118107.5845175187,1.1228418127493988e+16,0.6811704808919932
7.0,2.0,1.27573,15563.10567,-857.904,77.84,-27144.125,-0.00014,-0.00029,1.16609,0.00444,,0.0,-0.00153,-0.00456,22.88307,-19.10346,15563.10567,0.00444,0.007251203065134228,0.00019407511262683466,1.16609,0.1000000000003638,0.0002525004,117699.38079333425,117699.38079333425,117738.41615274257,1.1819387502523412e+16,0.6711617655407444
7.0,2.0,1.37345,15563.11067,-857.904,77.84085,-27144.12421,4e-05,-0.00038,1.26381,0.01606,,0.0,-0.00148,-0.00458,22.88307,-19.00574,15563.11067,0.01606,0.01637164750957884,0.00018636815291987223,1.26381,0.10499999999956344,0.0002519583,117446.68878045796,117446.68878045796,117382.91465771872,1.2410356877552836e+16,0.6625229020692416
7.0,2.0,1.47517,15563.11567,-857.904,77.84099,-27144.124,1e-05,-3e-05,1.36555,0.03225,,0.0,-0.00148,-0.00456,22.88288,-18.90401,15563.11567,0.03225,0.025538375478927667,0.00018545038103658025,1.36555,0.11000000000058208,0.00025075174,116884.26842433176,116884.26842433176,117040.53497646292,1.3001326252797252e+16,0.643295255675262
7.0,2.0,1.57716,15563.12067,-857.90315,77.8401,-27144.124,-4e-05,-0.00028,1.46754,0.03233,,0.0,-0.00149,-0.00453,22.88303,-18.80202,15563.12067,0.03233,0.03598035249042211,0.0001249944844427497,1.46754,0.11499999999978172,0.00024995360999999997,116512.23175907267,116512.23175907267,116710.75400517756,1.3592295627826676e+16,0.6305763180207508
7.0,2.0,1.6806,15563.12567,-857.903,77.84,-27144.124,4e-05,-0.00028,1.57098,0.03909,,0.0,-0.00156,-0.00457,22.88303,-18.69858,15563.12567,0.03909,0.04605347126436866,9.155833438590687e-05,1.57098,0.12000000000080036,0.00024967023,116380.13830286743,116380.13830286743,116393.06970601146,1.4183265003071092e+16,0.6260603963632078
7.0,2.0,1.78766,15563.13067,-857.90385,77.84,-27144.124,0.0002,0.00012,1.67805,0.06079,,0.0,-0.00149,-0.00455,22.88293,-18.59153,15563.13067,0.06079,0.0551255938697328,0.00011991326680980196,1.67805,0.125,0.00024877919,115964.79299544576,115964.79299544576,116087.00025835847,1.4774234378100516e+16,0.6118608521690597
7.0,2.0,1.89516,15563.13567,-857.904,77.84,-27144.124,0.00036,0.00012,1.78556,0.06343,,0.0,-0.00151,-0.00459,22.88297,-18.48402,15563.13567,0.06343,0.06471488122605482,0.00013197583259650283,1.78556,0.13000000000101863,0.00024782141,115518.3378098847,115518.3378098847,115792.08324254674,1.5365203753344934e+16,0.5965977445215112
7.0,2.0,2.00319,15563.14067,-857.904,77.84,-27144.12321,0.00017,-0.00023,1.8936,0.06844,,0.0,-0.00151,-0.00456,22.88307,-18.37599,15563.14067,0.06844,0.07510394636015462,0.00011106648141128646,1.8936,0.13500000000021828,0.00024755424,115393.80040888829,115393.80040888829,115507.8748582391,1.5956173128374356e+16,0.5923401441642313
7.0,2.0,2.11454,15563.14567,-857.90398,77.84,-27144.123,0.00035,-0.00012,2.00495,0.08889,,0.0,-0.00151,-0.00459,22.88288,-18.26464,15563.14567,0.08889,0.0851215555555571,0.00011645665445662965,2.00495,0.1400000000012369,0.00024701163,115140.8706669462,115140.8706669462,115233.94917264936,1.6547142503618774e+16,0.583693153372362
7.0,2.0,2.22756,15563.15067,-857.90306,77.84,-27144.12379,0.0002,-7e-05,2.11799,0.11195,,0.0,-0.00149,-0.0046,22.88294,-18.15163,15563.15067,0.11195,0.09485669731800937,0.00014261193212914504,2.11799,0.14500000000043656,0.00024607539,114704.4560383993,114704.4560383993,114969.89740073911,1.7138111878648198e+16,0.5687733054908655
7.0,2.0,2.3406,15563.15567,-857.90301,77.84,-27144.124,-0.00019,-0.00022,2.23102,0.0933,,0.0,-0.00153,-0.00456,22.88301,-18.03858,15563.15567,0.0933,0.10577076628352682,0.00011283188076288377,2.23102,0.1499999999996362,0.00024562658,114495.24979914636,114495.24979914636,114715.32721295099,1.772908125367762e+16,0.5616211042094685
7.0,2.0,2.4563,15563.16067,-857.9039,77.84085,-27144.124,0.00012,-0.00069,2.34673,0.11748,,0.0,-0.00155,-0.00455,22.88307,-17.92289,15563.16067,0.11748,0.1153984674329523,0.0001597330638709604,2.34673,0.15500000000065484,0.0002453681,114374.76311497693,114374.76311497693,114469.86207186163,1.8320050628922036e+16,0.5575019870168586
7.0,2.0,2.57512,15563.16567,-857.904,77.841,-27144.124,-1e-05,-0.00011,2.46557,0.1334,,0.0,-0.00158,-0.00455,22.88282,-17.80406,15563.16567,0.1334,0.12599107279693716,0.00016084375394716444,2.46557,0.15999999999985448,0.00024458537,114009.90493523396,114009.90493523396,114233.14059554566,1.891102000395146e+16,0.5450284625655591
7.0,2.0,2.69334,15563.17067,-857.904,77.841,-27144.12315,-9e-05,-1e-05,2.58378,0.13228,,0.0,-0.00152,-0.00457,22.883,-17.68584,15563.17067,0.13228,0.13725101149425536,0.00013553441960334424,2.58378,0.16500000000087311,0.00024399368,113734.09726672489,113734.09726672489,114004.8159457627,1.950198937919588e+16,0.5355993367078694
7.0,2.0,2.81293,15563.17567,-857.904,77.84099,-27144.123,-0.0002,-0.00052,2.70338,0.14585,,0.0,-0.00157,-0.00456,22.88296,-17.56626,15563.17567,0.14585,0.14967973180076902,4.479516651925968e-05,2.70338,0.17000000000007276,0.00024387505,113678.79962147953,113678.79962147953,113784.55524210776,2.00929587542253e+16,0.5337088582470241
7.0,2.0,2.93565,15563.18067,-857.90485,77.8401,-27144.12458,-5e-05,-2e-05,2.82612,0.16232,,0.0,-0.00156,-0.00455,22.88294,-17.44353,15563.18067,0.16232,0.16210603065134394,-5.6963159445966186e-05,2.82612,0.1750000000010914,0.00024328612,113404.27848673829,113404.27848673829,113572.03899846818,2.068392812946972e+16,0.5243237155348456
7.0,2.0,3.05789,15563.18567,-857.905,77.84,-27144.125,-0.00034,-0.00016,2.94835,0.16222,,0.0,-0.00157,-0.00456,22.88301,-17.32129,15563.18567,0.16222,0.17458454406130586,-0.00017297031703933472,2.94835,0.18000000000029104,0.00024264538999999998,113105.61153707912,113105.61153707912,113366.9605834946,2.1274897504499144e+16,0.5141130920482265
7.0,2.0,3.18042,15563.19067,-857.90415,77.84,-27144.12342,-9e-05,-0.00014,3.07089,0.17113,,0.0,-0.00157,-0.00454,22.88304,-17.19876,15563.19067,0.17113,0.18692864367816434,-0.00029866102479901146,3.07089,0.18499999999949068,0.00024254546,113059.03062424621,113059.03062424621,113169.02570167287,2.1865866879528564e+16,0.5125206153341384
7.0,2.0,3.30552,15563.19567,-857.904,77.84,-27144.123,-4e-05,-6e-05,3.196,0.19872,,0.0,-0.00157,-0.00458,22.88298,-17.07367,15563.19567,0.19872,0.19757822222222585,-0.00035314041514047457,3.196,0.19000000000050932,0.00024212704999999998,112863.99490185632,112863.99490185632,112977.9518960997,2.2456836254772984e+16,0.5058528660902507
7.0,2.0,3.43119,15563.20067,-857.904,77.84085,-27144.12379,0.00023,-0.00022,3.32169,0.21397,,0.0,-0.00156,-0.00457,22.88288,-16.94799,15563.20067,0.21397,0.2080094252873601,-0.0004116171950655329,3.32169,0.19499999999970896,0.00024141922,112534.05026530547,112534.05026530547,112793.46807127974,2.304780562980241e+16,0.4945729422182094
7.0,2.0,3.5556,15563.20567,-857.90399,77.841,-27144.124,0.00029,-0.00039,3.4461,0.21348,,0.0,-0.00156,-0.00456,22.88302,-16.82358,15563.20567,0.21348,0.21783350957854805,-0.0004521303524062794,3.4461,0.2000000000007276,0.00024129158999999998,112474.55740125196,112474.55740125196,112615.31403450386,2.3638775005046824e+16,0.4925390404567851
7.0,2.0,3.68229,15563.21067,-857.9031,77.84015,-27144.12321,0.00025,-0.00023,3.57279,0.22598,,0.0,-0.00153,-0.00458,22.88307,-16.6969,15563.21067,0.22598,0.22596867432950601,-0.00041645202307278033,3.57279,0.20499999999992724,0.0002411327,112400.49314387157,112400.49314387157,112443.24005672688,2.422974438007625e+16,0.49000698176468593
7.0,2.0,3.8101,15563.21567,-857.90302,77.84,-27144.123,0.00018,-0.00048,3.70062,0.24279,,0.0,-0.0015,-0.00458,22.8831,-16.56908,15563.21567,0.24279,0.2343961302682035,-0.0004094206559724508,3.70062,0.21000000000094587,0.00024041452,112065.72400569137,112065.72400569137,112277.00645012528,2.4820713755320664e+16,0.47856212109697943
7.0,2.0,3.93629,15563.22067,-857.90394,77.84085,-27144.123,0.00023,6e-05,3.82681,0.25178,,0.0,-0.00149,-0.00456,22.88303,-16.44289,15563.22067,0.25178,0.24407800766283969,-0.0004824495810703441,3.82681,0.21500000000014552,0.00024012781000000002,111932.07831852708,111932.07831852708,112116.38316369538,2.541168313035009e+16,0.473993132818222
7.0,2.0,4.06362,15563.22567,-857.904,77.841,-27144.123,0.00028,-8e-05,3.95414,0.26517,,0.0,-0.00153,-0.00455,22.88298,-16.31557,15563.22567,0.26517,0.2517319846743341,-0.00046336213212082875,3.95414,0.22000000000116415,0.00024017512,111954.13118539515,111954.13118539515,111961.14939420005,2.6002652505594504e+16,0.47474706130159533
7.0,2.0,4.19274,15563.23067,-857.904,77.84185,-27144.12379,0.00036,-0.00027,4.08328,0.28342,,0.0,-0.00149,-0.00457,22.88308,-16.18645,15563.23067,0.28342,0.2583148122605411,-0.000403748389541571,4.08328,0.2250000000003638,0.00023963532,111702.51128399205,111702.51128399205,111811.09321374242,2.659362188062393e+16,0.46614485045135146
7.0,2.0,4.32057,15563.23567,-857.904,77.84199,-27144.124,0.00031,-0.00019,4.21111,0.28582,,0.0,-0.00151,-0.0046,22.88298,-16.05861,15563.23567,0.28582,0.26509796168582855,-0.00036413304702967865,4.21111,0.22999999999956344,0.00023910254,111454.1636532593,111454.1636532593,111666.01121151388,2.718459125565335e+16,0.45765450977555877
