Index [#],Phase [#],Displacement [um],Time [s],Pos X [um],Pos Y [um],Pos Z [um],Piezo X [um],Piezo Y [um],Piezo Z [um],Force A [uN],Force B [uN],Gripper [V],Voltage A [V],Voltage B [V],Temperature [oC],Sample Displacement [um],Filtered time [uN},Filtered force [uN],SG Force [uN],Est Force 2nd derivative,Filtered displacement [um]
1.0,2.0,0.01398,15432.796,-857.904,-922.16296,-27139.353,0.00013,-0.00044,-0.01253,-0.13725,,0.0,-0.00151,-0.00456,22.86838,-23.41422,15432.796,-0.13725,-0.1382953366174056,0.0003705339564649904,-0.01253
1.0,2.0,0.03442,15432.801,-857.904,-922.16204,-27139.353,-8e-05,-4e-05,0.00792,-0.13523,,0.0,-0.00153,-0.0045,22.86847,-23.39378,15432.801,-0.13523,-0.13627307944928635,0.0003705339564649904,0.00792
1.0,2.0,0.05818,15432.806,-857.904,-922.16202,-27139.353,-6e-05,-0.00041,0.03168,-0.1352,,0.0,-0.00153,-0.00453,22.86848,-23.37002,15432.806,-0.1352,-0.1338802883247021,0.0003705339564649904,0.03168
1.0,2.0,0.08857,15432.811,-857.904,-922.16294,-27139.353,-0.00035,9e-05,0.06206,-0.13496,,0.0,-0.00149,-0.00456,22.86849,-23.33964,15432.811,-0.13496,-0.13111696324365288,0.0003705339564649904,0.06206
1.0,2.0,0.1269,15432.816,-857.904,-922.163,-27139.353,-0.0003,0.0004,0.1004,-0.12539,,0.0,-0.0015,-0.00454,22.86863,-23.3013,15432.816,-0.12539,-0.12798310420613868,0.0003705339564649904,0.1004
1.0,2.0,0.16809,15432.821,-857.904,-922.163,-27139.353,2e-05,-0.00017,0.14159,-0.12129,,0.0,-0.0015,-0.00453,22.86839,-23.26012,15432.821,-0.12129,-0.12447871121215946,0.0003705339564649904,0.14159
1.0,2.0,0.21431,15432.826,-857.90413,-922.163,-27139.35301,-0.0001,-0.00076,0.18782,-0.11429,,0.0,-0.0015,-0.00455,22.86871,-23.21389,15432.826,-0.11429,-0.12060378426171527,0.0003705339564649904,0.18782
1.0,2.0,0.26744,15432.831,-857.90596,-922.163,-27139.3539,-0.00019,-0.00055,0.24096,-0.09989,,0.0,-0.0015,-0.00451,22.86875,-23.16076,15432.831,-0.09989,-0.11635832335480609,0.0003705339564649904,0.24096
1.0,2.0,0.32425,15432.836,-857.90597,-922.163,-27139.35396,1e-05,-0.00046,0.29776,-0.11306,,0.0,-0.00151,-0.00453,22.8685,-23.10396,15432.836,-0.11306,-0.1117423284914319,0.0003705339564649904,0.29776
1.0,2.0,0.38382,15432.841,-857.9033,-922.163,-27139.35213,-5e-05,-0.0002,0.35733,-0.12043,,0.0,-0.00149,-0.00455,22.86861,-23.04438,15432.841,-0.12043,-0.10675579967159274,0.0003705339564649904,0.35733
1.0,2.0,0.44888,15432.846,-857.90306,-922.163,-27139.35202,-7e-05,0.00058,0.42238,-0.11464,,0.0,-0.0015,-0.00453,22.86865,-22.97933,15432.846,-0.11464,-0.10139873689528858,0.0003705339564649904,0.42238
1.0,2.0,0.51912,15432.851,-857.90398,-922.163,-27139.35294,-0.00024,0.00084,0.49263,-0.11046,,0.0,-0.00147,-0.00455,22.86859,-22.90909,15432.851,-0.11046,-0.09567114016251943,0.0003705339564649904,0.49263
1.0,2.0,0.59101,15432.856,-857.90406,-922.16298,-27139.353,7e-05,0.0003,0.56453,-0.09256,,0.0,-0.00147,-0.00454,22.86871,-22.8372,15432.856,-0.09256,-0.0895730094732853,0.0003705339564649904,0.56453
1.0,2.0,0.66595,15432.861,-857.90498,-922.16206,-27139.353,-0.00013,-0.00066,0.63948,-0.08172,,0.0,-0.00151,-0.00454,22.86842,-22.76225,15432.861,-0.08172,-0.08310434482758773,0.00037053395646501584,0.63948
1.0,2.0,0.74666,15432.866,-857.905,-922.16204,-27139.353,0.00015,-0.00048,0.7202,-0.06809,,0.0,-0.00153,-0.00456,22.86863,-22.68154,15432.866,-0.06809,-0.07629324904214699,0.00037278110395354063,0.7202
1.0,2.0,0.82947,15432.871,-857.905,-922.16296,-27139.353,-1e-05,-0.00074,0.80301,-0.07509,,0.0,-0.00148,-0.00457,22.86847,-22.59873,15432.871,-0.07509,-0.06875553256705107,0.0003555303776683294,0.80301
1.0,2.0,0.91349,15432.876,-857.905,-922.16298,-27139.35301,-0.00016,-0.00084,0.88703,-0.06036,,0.0,-0.00152,-0.00455,22.86853,-22.51471,15432.876,-0.06036,-0.06037018390804709,0.00030700239989896975,0.88703
1.0,2.0,1.00288,15432.881,-857.905,-922.16206,-27139.3539,-0.00022,-8e-05,0.97643,-0.05841,,0.0,-0.00153,-0.00459,22.86851,-22.42532,15432.881,-0.05841,-0.052254398467433905,0.0002847481790240567,0.97643
1.0,2.0,1.09467,15432.886,-857.905,-922.162,-27139.35402,-1e-05,0.00049,1.06823,-0.03935,,0.0,-0.00151,-0.00457,22.86866,-22.33353,15432.886,-0.03935,-0.04303365517241458,0.0002119886320576105,1.06823
1.0,2.0,1.18694,15432.891,-857.905,-922.162,-27139.35494,0.00018,0.00027,1.1605,-0.02616,,0.0,-0.00151,-0.00454,22.8686,-22.24127,15432.891,-0.02616,-0.0340481532567056,0.00016196598037978362,1.1605
