Index [#],Phase [#],Displacement [um],Time [s],Pos X [um],Pos Y [um],Pos Z [um],Piezo X [um],Piezo Y [um],Piezo Z [um],Force A [uN],Force B [uN],Gripper [V],Voltage A [V],Voltage B [V],Temperature [oC],Sample Displacement [um]
8.0,2.0,0.01418,15584.706,-357.90504,77.837,-27145.978,-0.0001,-0.00032,-0.11893,-0.25804,,0.0,-0.00151,-0.00454,22.88541,-15.7808
8.0,2.0,0.03281,15584.711,-357.90687,77.837,-27145.978,-0.00015,-3e-05,-0.1003,-0.25459,,0.0,-0.00146,-0.00452,22.88535,-15.76217
8.0,2.0,0.05854,15584.716,-357.907,77.837,-27145.978,-0.00044,-3e-05,-0.07457,-0.26759,,0.0,-0.00147,-0.00456,22.88543,-15.73644
8.0,2.0,0.0886,15584.721,-357.90785,77.837,-27145.978,-0.00039,7e-05,-0.04451,-0.26634,,0.0,-0.00146,-0.00456,22.88541,-15.70638
8.0,2.0,0.12573,15584.726,-357.90798,77.837,-27145.978,-0.00011,0.00052,-0.00737,-0.25363,,0.0,-0.00145,-0.00456,22.8854,-15.66925
8.0,2.0,0.16895,15584.731,-357.90706,77.837,-27145.97715,-0.00031,-2e-05,0.03584,-0.26104,,0.0,-0.00145,-0.00453,22.88548,-15.62603
8.0,2.0,0.21459,15584.736,-357.907,77.837,-27145.977,0.00018,-0.00039,0.08148,-0.26233,,0.0,-0.00141,-0.00454,22.88546,-15.58039
8.0,2.0,0.26712,15584.741,-357.907,77.837,-27145.97621,0.00038,3e-05,0.13402,-0.25362,,0.0,-0.00145,-0.00454,22.88547,-15.52786
8.0,2.0,0.32506,15584.746,-357.907,77.837,-27145.976,3e-05,-8e-05,0.19195,-0.25767,,0.0,-0.0015,-0.00452,22.88538,-15.46992
8.0,2.0,0.38384,15584.751,-357.907,77.837,-27145.97685,0.00029,-0.00028,0.25074,-0.24596,,0.0,-0.00151,-0.00456,22.88549,-15.41114
8.0,2.0,0.44937,15584.756,-357.907,77.837,-27145.977,0.00021,0.00011,0.31628,-0.24348,,0.0,-0.00151,-0.00455,22.88548,-15.3456
8.0,2.0,0.5192,15584.761,-357.907,77.837,-27145.977,0.00024,0.00045,0.38611,-0.24429,,0.0,-0.00152,-0.00452,22.8853,-15.27577
8.0,2.0,0.59132,15584.766,-357.90698,77.837,-27145.977,0.00032,2e-05,0.45823,-0.24067,,0.0,-0.00152,-0.00453,22.88532,-15.20366
8.0,2.0,0.66684,15584.771,-357.90606,77.837,-27145.97779,0.00022,-0.00085,0.53375,-0.23108,,0.0,-0.0015,-0.00456,22.8856,-15.12814
8.0,2.0,0.7467,15584.776,-357.90602,77.837,-27145.978,0.00033,-0.00017,0.61362,-0.21916,,0.0,-0.00148,-0.00452,22.88535,-15.04827
8.0,2.0,0.82977,15584.781,-357.90694,77.837,-27145.97885,9e-05,0.00061,0.69668,-0.23068,,0.0,-0.00149,-0.00453,22.88554,-14.9652
8.0,2.0,0.91504,15584.786,-357.907,77.837,-27145.979,-0.00014,-0.00024,0.78196,-0.22577,,0.0,-0.00147,-0.00456,22.88541,-14.87994
8.0,2.0,1.0031,15584.791,-357.907,77.837,-27145.97815,8e-05,-0.00014,0.87002,-0.21491,,0.0,-0.00148,-0.00453,22.88542,-14.79188
8.0,2.0,1.09536,15584.796,-357.907,77.837,-27145.978,-0.00011,0.0001,0.96229,-0.20237,,0.0,-0.0015,-0.00454,22.88544,-14.69962
8.0,2.0,1.18819,15584.801,-357.907,77.837,-27145.978,0.00035,-0.00017,1.05512,-0.20153,,0.0,-0.00148,-0.00451,22.88544,-14.60678
8.0,2.0,1.28404,15584.806,-357.907,77.837,-27145.978,0.00044,-0.00045,1.15098,-0.19361,,0.0,-0.0015,-0.00456,22.88559,-14.51093
8.0,2.0,1.38309,15584.811,-357.907,77.837,-27145.97879,0.00019,-0.00015,1.25003,-0.18645,,0.0,-0.00151,-0.00454,22.8855,-14.41189
8.0,2.0,1.48297,15584.816,-357.90699,77.837,-27145.979,-8e-05,0.00032,1.34991,-0.18307,,0.0,-0.0015,-0.00453,22.88546,-14.31201
8.0,2.0,1.58503,15584.821,-357.9061,77.837,-27145.979,-2e-05,-3e-05,1.45198,-0.17349,,0.0,-0.00152,-0.00453,22.88539,-14.20994
8.0,2.0,1.69015,15584.826,-357.906,77.837,-27145.979,-2e-05,-0.00041,1.5571,-0.16827,,0.0,-0.0015,-0.00455,22.88541,-14.10483
8.0,2.0,1.79601,15584.831,-357.90679,77.837,-27145.979,0.00033,-0.00011,1.66297,-0.15397,,0.0,-0.00149,-0.00456,22.88552,-13.99897
8.0,2.0,1.90275,15584.836,-357.907,77.837,-27145.979,0.0003,-0.00038,1.76971,-0.1528,,0.0,-0.0015,-0.00457,22.88562,-13.89223
8.0,2.0,2.01203,15584.841,-357.907,77.83785,-27145.979,1e-05,-0.00062,1.87901,-0.13892,,0.0,-0.0015,-0.00452,22.88543,-13.78294
8.0,2.0,2.12351,15584.846,-357.907,77.838,-27145.979,-0.00014,-0.00011,1.99048,-0.13877,,0.0,-0.00153,-0.00451,22.88547,-13.67146
8.0,2.0,2.23484,15584.851,-357.907,77.83885,-27145.97821,4e-05,0.00028,2.10182,-0.13052,,0.0,-0.00151,-0.00455,22.88562,-13.56013
8.0,2.0,2.34916,15584.856,-357.907,77.83898,-27145.978,-6e-05,-0.00029,2.21614,-0.1192,,0.0,-0.00149,-0.00456,22.88537,-13.44582
8.0,2.0,2.4653,15584.861,-357.907,77.8372,-27145.97885,0.00037,-0.00034,2.33229,-0.11809,,0.0,-0.00152,-0.00452,22.88538,-13.32968
8.0,2.0,2.58251,15584.866,-357.90698,77.837,-27145.979,0.00034,-0.00062,2.44951,-0.09539,,0.0,-0.00149,-0.00452,22.8854,-13.21247
8.0,2.0,2.70081,15584.871,-357.90606,77.837,-27145.97821,0.00023,-0.00037,2.56782,-0.08692,,0.0,-0.00152,-0.00451,22.88542,-13.09416
8.0,2.0,2.82182,15584.876,-357.906,77.837,-27145.978,0.00013,3e-05,2.68883,-0.08807,,0.0,-0.00151,-0.00451,22.88537,-12.97315
8.0,2.0,2.94351,15584.881,-357.90685,77.83779,-27145.978,0.00027,-8e-05,2.81052,-0.07661,,0.0,-0.00152,-0.00456,22.88549,-12.85147
8.0,2.0,3.0651,15584.886,-357.907,77.83799,-27145.978,0.00012,9e-05,2.93212,-0.07117,,0.0,-0.00153,-0.00457,22.88558,-12.72987
8.0,2.0,3.18893,15584.891,-357.907,77.8371,-27145.97885,0.00059,-3e-05,3.05596,-0.0585,,0.0,-0.0015,-0.00454,22.88545,-12.60604
